epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5715,2.27845,3.61463,1.98166,0.00247,0.74194,0.46698,0.30475,1.61137,3.42925,1.51289,0.00026,0.00026,0.00026
2,154.759,1.68822,2.81851,1.55152,0.00258,0.77419,0.46237,0.2721,1.75729,3.49944,1.58716,0.000529308,0.000529308,0.000529308
3,232.461,1.49284,2.43432,1.38613,0.00269,0.80645,0.47197,0.24608,1.79519,3.51705,1.7426,0.000787528,0.000787528,0.000787528
4,310.327,1.52087,2.33481,1.39572,0.67322,0.06452,0.20036,0.11495,2.3332,4.02667,2.2336,0.00103466,0.00103466,0.00103466
5,388.719,1.53115,2.19104,1.40231,0.78179,0.29032,0.34157,0.20582,1.87559,3.15827,1.82429,0.0012707,0.0012707,0.0012707
6,466.86,1.57589,2.24916,1.39107,0.92316,0.32258,0.39505,0.26904,2.09967,2.99002,1.84577,0.00149566,0.00149566,0.00149566
7,551.674,1.44633,2.14869,1.34518,0.22344,0.32491,0.19469,0.12471,1.90719,3.2687,1.96184,0.00170953,0.00170953,0.00170953
8,635.618,1.43771,1.98974,1.33343,0.92362,0.35484,0.41009,0.28071,1.85119,2.76607,1.73274,0.0017228,0.0017228,0.0017228
9,715.888,1.37107,1.81202,1.29654,0.33651,0.3871,0.27827,0.11544,2.58619,3.49195,2.21591,0.0016832,0.0016832,0.0016832
10,797.938,1.46865,1.75813,1.35783,0.45521,0.29032,0.2745,0.18463,1.97665,3.2407,1.75201,0.0016436,0.0016436,0.0016436
11,882.485,1.4386,1.69124,1.34476,0.45336,0.32258,0.26684,0.15199,1.87852,3.65938,1.63761,0.001604,0.001604,0.001604
12,969.791,1.39764,1.60769,1.30957,0.37852,0.35484,0.25118,0.15936,1.86016,3.07847,1.64255,0.0015644,0.0015644,0.0015644
13,1051.29,1.26557,1.48676,1.25776,0.7687,0.3871,0.44869,0.3094,1.54962,2.79328,1.39167,0.0015248,0.0015248,0.0015248
14,1134.5,1.28547,1.43815,1.2371,0.80956,0.54839,0.5891,0.41123,1.42858,2.16731,1.28263,0.0014852,0.0014852,0.0014852
15,1211.54,1.156,1.27243,1.17394,0.86782,0.45161,0.55265,0.38645,1.4815,2.12493,1.33888,0.0014456,0.0014456,0.0014456
16,1288.88,1.24915,1.3768,1.23278,0.79852,0.51613,0.58505,0.40776,1.47951,2.06738,1.41608,0.001406,0.001406,0.001406
17,2055.27,1.19424,1.26335,1.17955,0.98165,0.48387,0.55392,0.40581,1.37168,2.25278,1.36307,0.0013664,0.0013664,0.0013664
18,2135.25,1.19073,1.30138,1.20404,0.82315,0.60091,0.62948,0.48611,1.3471,1.63824,1.40756,0.0013268,0.0013268,0.0013268
19,2215.46,1.25967,1.33205,1.25529,0.85656,0.578,0.60643,0.46684,1.29102,1.51148,1.32955,0.0012872,0.0012872,0.0012872
20,2297.67,1.12232,1.14383,1.15251,0.74784,0.57422,0.64976,0.46789,1.40044,1.66871,1.39158,0.0012476,0.0012476,0.0012476
21,3233.3,1.07798,1.14369,1.16794,0.89229,0.53491,0.64644,0.48135,1.29704,1.76765,1.29453,0.001208,0.001208,0.001208
22,3302.58,1.00164,1.06705,1.09725,0.91934,0.51613,0.60592,0.46813,1.28716,1.57962,1.29961,0.0011684,0.0011684,0.0011684
23,3362.81,1.05679,1.1001,1.11934,0.6539,0.48387,0.54149,0.42579,1.17563,2.03601,1.26361,0.0011288,0.0011288,0.0011288
24,3417.53,1.07478,1.0228,1.12924,0.97112,0.54839,0.65988,0.49882,1.31196,1.33823,1.41559,0.0010892,0.0010892,0.0010892
25,3471.61,1.02615,1.03646,1.13013,0.93947,0.58065,0.62188,0.48335,1.30312,1.41179,1.44349,0.0010496,0.0010496,0.0010496
26,3525.49,0.95583,0.99201,1.08913,0.88077,0.6129,0.64339,0.50912,1.18267,1.41497,1.26998,0.00101,0.00101,0.00101
27,3579.33,0.95248,0.93062,1.08113,0.92431,0.54839,0.64813,0.51865,1.12047,1.27296,1.22496,0.0009704,0.0009704,0.0009704
28,3633.48,1.00118,0.99621,1.09913,0.83815,0.66845,0.75423,0.52971,1.24265,1.17709,1.2514,0.0009308,0.0009308,0.0009308
29,3687.23,0.99007,0.97386,1.10029,0.94031,0.50851,0.6559,0.523,1.21965,1.25624,1.28093,0.0008912,0.0008912,0.0008912
30,3741.94,1.00177,0.94985,1.1,0.96034,0.51613,0.64665,0.49962,1.1637,1.32594,1.22928,0.0008516,0.0008516,0.0008516
31,3799.34,0.90387,0.88218,1.05909,0.7969,0.63316,0.67926,0.52216,1.20821,1.2936,1.2402,0.000812,0.000812,0.000812
32,3858.08,0.93343,0.8948,1.06463,0.98652,0.6129,0.70333,0.54328,1.13131,1.17602,1.18134,0.0007724,0.0007724,0.0007724
33,3917.05,0.94157,0.87029,1.06875,0.79061,0.67742,0.67413,0.52536,1.06951,1.18718,1.14054,0.0007328,0.0007328,0.0007328
34,3976.12,0.8918,0.82836,1.07626,0.81874,0.70968,0.71203,0.53471,1.13605,1.1632,1.19912,0.0006932,0.0006932,0.0006932
35,4035.41,0.88843,0.82557,1.05778,0.90284,0.6129,0.71014,0.54789,1.21123,1.26369,1.25995,0.0006536,0.0006536,0.0006536
36,4100.19,0.87755,0.81385,1.04131,0.81629,0.70968,0.73878,0.57372,1.13001,1.11986,1.23062,0.000614,0.000614,0.000614
37,31231,0.88483,0.81209,1.0534,0.87025,0.70968,0.75166,0.56379,1.12263,1.1061,1.27175,0.0005744,0.0005744,0.0005744
38,31287.5,0.7867,0.73303,1.00443,0.91891,0.74194,0.75601,0.57218,1.05349,1.08106,1.21118,0.0005348,0.0005348,0.0005348
39,31344.7,0.80633,0.7285,1.01065,0.88057,0.71368,0.75875,0.59386,1.05879,1.03134,1.16478,0.0004952,0.0004952,0.0004952
40,31402.3,0.82036,0.77875,1.00975,0.90828,0.70968,0.76922,0.57951,1.01327,0.91961,1.14534,0.0004556,0.0004556,0.0004556
41,31458.8,0.72756,0.70881,0.98567,0.85586,0.76638,0.7855,0.59081,1.08227,0.9393,1.16238,0.000416,0.000416,0.000416
42,31515.3,0.7198,0.65749,0.98407,0.8878,0.74194,0.78002,0.59481,1.14242,0.95841,1.20025,0.0003764,0.0003764,0.0003764
43,31571.8,0.65155,0.62625,0.93414,0.85454,0.77419,0.8045,0.59948,1.08493,0.90571,1.16227,0.0003368,0.0003368,0.0003368
44,31628.7,0.63026,0.60352,0.92788,0.98228,0.77419,0.8307,0.6226,1.06415,0.86975,1.15814,0.0002972,0.0002972,0.0002972
45,31685.5,0.66636,0.57073,0.9412,0.98211,0.80645,0.83935,0.64895,1.04303,0.84598,1.14915,0.0002576,0.0002576,0.0002576
